Feature,Importance
V17,0.17872689707816508
V14,0.17167431470397623
V12,0.11440790149127902
V10,0.10246009971373778
V7,0.09902278907431714
V3,0.09686227908361184
V16,0.06203695356145987
V1,0.05441055373476535
V11,0.04447874723116312
V4,0.028985901269082223
V18,0.010816261271585588
V2,0.00866328470243131
V27,0.00837421282656707
V5,0.007918546707693363
V21,0.005855371483307543
V9,0.0032645811721725457
V8,0.0010332836962415575
V19,0.0009555793324023545
V6,2.4913051936081802e-05
V22,1.098307610451773e-05
scaled_amount,3.8905283453713275e-06
V23,3.3857687770264655e-06
V25,2.64310965712266e-06
V13,1.8661538819283247e-06
V26,1.4412257464617669e-06
V20,1.2518255597358566e-06
V28,1.069583895157072e-06
V24,9.97542137735576e-07
V15,0.0
scaled_time,0.0
